id,age,years_remain,remain_war,name
16725,26,6,4.272131001103003,Jose Trevino
16729,27,6,5.071466713916307,Brian O'Grady
16885,26,6,11.03187034792288,Josh Fuentes
16909,26,5,17.07719867948736,Colin Moran
16925,26,6,-0.9819052884993503,Aramis Garcia
16939,23,6,12.155840524345518,Lane Thomas
16997,22,6,20.296458558627158,Gleyber Torres
17005,25,6,7.864592032503098,Gavin Cecchini
17022,23,6,4.867194987524177,Edmundo Sosa
17027,23,6,18.75773738752372,Alex Verdugo
17062,26,6,11.471852726317696,Grayson Greiner
17109,22,6,10.029191300918711,Meibrys Viloria
17128,24,6,19.944121332713884,Ramon Laureano
17161,27,6,8.325277386402728,Chad Wallach
17232,24,5,19.756251478479452,Yoan Moncada
17276,23,6,8.25061169693875,Alex Jackson
17278,23,6,12.031915325037463,Bobby Bradley
17321,23,6,19.910762299364876,Michael Chavis
17326,22,6,10.365349029383948,Cole Tucker
17338,22,6,13.823024099367164,Willi Castro
17350,22,5,17.087598535324386,Rafael Devers
1744,36,5,7.566288370256985,Miguel Cabrera
17468,24,6,7.761490504867159,Kelvin Gutierrez
17484,22,6,23.864791925135112,Eloy Jimenez
17548,25,6,9.585265055373707,Taylor Ward
17588,25,6,2.1259429223037287,Blake Trahan
17620,24,6,30.864981932536953,Myles Straw
17642,27,5,8.205718052958073,JT Riddle
17642,27,5,8.205718052958073,J.T. Riddle
17678,25,4,24.58380230144057,Alex Bregman
17689,25,6,-0.6454477939136983,Kevin Kramer
17696,25,6,17.293556484352898,Kevin Newman
17710,26,6,13.694701811051962,Matt Beaty
17714,25,6,13.655132707999527,Christin Stewart
17719,25,6,6.017509527731298,Steven Duggar
17723,25,6,10.085539358769966,Skye Bolt
17736,24,6,10.216332594017574,Richie Martin
17736,24,6,10.216332594017574,Richie Martin Jr.
17738,25,6,-2.316518318682326,Chris Shaw
17766,25,6,12.16843400186645,DJ Stewart
17766,25,6,12.16843400186645,D.J. Stewart
